provider,family,variant,paired_group_id,view_a,view_b,actual_class,prediction_a,prediction_b,correct_a,correct_b,evaluable_a,evaluable_b
deepseek,M18,TF,pair-003e6989ef8b8178,RETRY_HISTORY,FIRST_FAILURE,TRANSIENT_FAILURE,TRANSIENT_FAILURE,PERSISTENT_DRIFT,1,0,1,1
moonshot,M08,PD,pair-0584d3b277bf29e1,RETRY_HISTORY,FIRST_FAILURE,PERSISTENT_DRIFT,PERSISTENT_DRIFT,PERSISTENT_DRIFT,1,1,1,1
deepseek,M07,AE,pair-061e56d65a0ef130,RETRY_HISTORY,FIRST_FAILURE,AGENT_ERROR,PERSISTENT_DRIFT,PERSISTENT_DRIFT,0,0,1,1
dashscope,M13,AE,pair-08f446ef55b5bd4c,RETRY_HISTORY,FIRST_FAILURE,AGENT_ERROR,AGENT_ERROR,AGENT_ERROR,1,1,1,1
moonshot,M10,TF,pair-0b2426b68879fa90,RETRY_HISTORY,FIRST_FAILURE,TRANSIENT_FAILURE,PERSISTENT_DRIFT,PERSISTENT_DRIFT,0,0,1,1
deepseek,M09,PD,pair-1018c42da59e0acc,RETRY_HISTORY,FIRST_FAILURE,PERSISTENT_DRIFT,PERSISTENT_DRIFT,PERSISTENT_DRIFT,1,1,1,1
deepseek,M03,AE,pair-1188ff6eb945bc80,RETRY_HISTORY,FIRST_FAILURE,AGENT_ERROR,AGENT_ERROR,AGENT_ERROR,1,1,1,1
deepseek,M17,PD,pair-14b5b82db3eb4004,RETRY_HISTORY,FIRST_FAILURE,PERSISTENT_DRIFT,PERSISTENT_DRIFT,PERSISTENT_DRIFT,1,1,1,1
dashscope,M19,TF,pair-17e8331c40103d0f,RETRY_HISTORY,FIRST_FAILURE,TRANSIENT_FAILURE,PERSISTENT_DRIFT,PERSISTENT_DRIFT,0,0,1,1
moonshot,M17,AE,pair-19e876084183e58b,RETRY_HISTORY,FIRST_FAILURE,AGENT_ERROR,PERSISTENT_DRIFT,PERSISTENT_DRIFT,0,0,1,1
deepseek,M13,PD,pair-1a28980e4188570b,RETRY_HISTORY,FIRST_FAILURE,PERSISTENT_DRIFT,AGENT_ERROR,AGENT_ERROR,0,0,1,1
